Date,Name,Year,Letterboxd URI,Rating
2024-07-09,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,3
2024-07-09,The Legend of 1900,1998,https://boxd.it/1WpY,4.5
2024-07-09,Song of the Sea,2014,https://boxd.it/3Ic6,4
2024-07-09,8½,1963,https://boxd.it/2aqm,4
2024-07-09,Castle in the Sky,1986,https://boxd.it/1W4G,3.5
2024-07-09,Beauty and the Beast,1991,https://boxd.it/1XhG,4
2024-07-09,Bohemian Rhapsody,2018,https://boxd.it/f1TK,3
2024-07-09,Sanjuro,1962,https://boxd.it/1TaQ,4
2024-07-09,Tangerines,2013,https://boxd.it/71vM,4
2024-07-09,Babamın Ceketi,2018,https://boxd.it/jLtw,2
2024-07-09,The Wages of Fear,1953,https://boxd.it/2aSK,4
2024-07-09,Diabolique,1955,https://boxd.it/29we,4
2024-07-09,Blade Runner 2049,2017,https://boxd.it/b8wK,3.5
2024-07-09,Rang De Basanti,2006,https://boxd.it/20KG,3.5
2024-07-09,A Wednesday!,2008,https://boxd.it/1EFE,4.5
2024-07-09,Arif V 216,2018,https://boxd.it/g48u,1.5
2024-07-09,The Shape of Water,2017,https://boxd.it/dZ5m,3.5
2024-07-09,The Maltese Falcon,1941,https://boxd.it/29c4,3.5
2024-07-09,In the Family,2017,https://boxd.it/h8Cq,4
2024-07-09,Murder on the Orient Express,2017,https://boxd.it/dHjA,2.5
2024-07-09,Nausicaä of the Valley of the Wind,1984,https://boxd.it/2bc6,4
2024-07-09,Ayla: The Daughter of War,2017,https://boxd.it/gWyw,4
2024-07-09,Cingöz Recai,2017,https://boxd.it/h26o,2.5
2024-07-09,Paper Moon,1973,https://boxd.it/1Ud2,4
2024-07-09,Butch Cassidy and the Sundance Kid,1969,https://boxd.it/29Vy,4
2024-07-09,Wild Tales,2014,https://boxd.it/7UmK,4
2024-07-09,Dunkirk,2017,https://boxd.it/d0Y6,4
2024-07-09,La La Land,2016,https://boxd.it/a5fa,4
2024-07-09,3:10 to Yuma,2007,https://boxd.it/23g0,3.5
2024-07-09,Çalgı Çengi: İkimiz,2017,https://boxd.it/g0lu,3.5
2024-07-09,Chaos Theory,2008,https://boxd.it/1R4G,2.5
2024-07-09,Sliding Doors,1998,https://boxd.it/1WNG,3
2024-07-09,Touch of Evil,1958,https://boxd.it/28II,3.5
2024-07-09,Sully,2016,https://boxd.it/cD8Q,3
2024-07-09,Ben-Hur,2016,https://boxd.it/8c24,2
2024-07-09,The Avengers,2012,https://boxd.it/1xFW,3
2024-07-09,Annie Hall,1977,https://boxd.it/29M2,4
